Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Thoái hóa khớp,đau buổi sáng,lạo xạo trong khớp,đau khớp,đỏ xung quanh khớp,sưng tấy,mệt mỏi,,,,
Bệnh Parkinson,cúi người,mất thăng bằng,cứng cơ,chậm vận động,vấn đề cân bằng,thay đổi giọng nói,đi bộ lê từng bước,run,khó đi lại,chuột rút cơ
Lo âu,lo lắng thái quá,đau đầu,run rẩy,mệt mỏi,hồi hộp,,,,,
Viêm tụy mạn tính,nôn,buồn nôn,đau bụng dai dẳng,đau lưng,suy dinh dưỡng,,,,,
Đột quỵ,khó nuốt,khó nhìn,mơ hồ,mất phối hợp,nói ngọng,đau đầu dữ dội,,,,
Sởi,viêm kết mạc,sổ mũi,chán ăn,đau cơ,ho,,,,,
Virus Zika,sốt,viêm kết mạc,đau cơ,sưng khớp,đau bụng,đau khớp,buồn nôn,,,
Schizophrenia,thay đổi hành vi,khó tập trung,lo âu,lú lẫn,ảo giác,mất hứng thú,cảm giác lạc lõng,,,
Schizophrenia,thất vọng,cảm giác lạc lõng,mất hứng thú,trầm cảm,hoang tưởng,khó tập trung,ảo giác,lo âu,,
Loét dạ dày tá tràng,sút cân,đầy hơi,đau bụng,khó tiêu,tiêu chảy,,,,,
Mumps,sưng tuyến nước bọt,sốt,đau đầu,đau cơ,đau họng,chán ăn,,,,
Nấm da,vết thương lâu lành,sưng da,mẩn đỏ,ngứa da,lột da,,,,,
Thiếu máu hồng cầu hình liềm,chóng mặt,vàng da,sút cân,mệt mỏi,buồn nôn,đau bụng,,,,
Psoriasis,tăng mảng vảy,mẩn đỏ,ngứa,vảy da,nứt nẻ da,mệt mỏi,,,,
Sỏi mật,đau sau ăn,vàng da,nôn mửa,đau bụng trên,khó tiêu,buồn nôn,,,,
Virus Zika,đau cơ,đau đầu,đau bụng,mệt mỏi,buồn nôn,viêm kết mạc,phát ban,sốt,sưng khớp,đau khớp
Bệnh phong,da đổi màu,sẹo,yếu cơ,nerv lớn phì đại,sưng,vấn đề về mắt,tắc nghẽn mũi,tê,,
Sốt thương hàn,yếu,tiêu chảy,sốt,phát ban,mơ hồ,chán ăn,,,,
Ung thư tụy,giảm cân không rõ lý do,tiêu chảy,đau lưng,đau bụng,buồn nôn,khó thở,mất cảm giác thèm ăn,mệt mỏi,sốt,
Uốn ván,co giật,ra mồ hôi,đau đầu,đau họng,sốt,khó mở miệng,,,,
Rối loạn phổ tự kỷ (ASD),mất tập trung,hành vi lặp lại,khó duy trì các mối quan hệ,không hiểu cảm xúc người khác,khó khăn trong giao tiếp xã hội,thiếu sự quan tâm đến trò chơi nhóm,vấn đề với tương tác xã hội,thiếu khả năng diễn đạt cảm xúc,,
Bệnh phong,tắc nghẽn mũi,tê,sẹo,vấn đề về mắt,da đổi màu,yếu cơ,sưng,mất cảm giác,,
Cường giáp,khó ngủ,kích động,sụt cân,đổ mồ hôi nhiều,nhịp tim nhanh,rụng tóc,run tay,,,
Sốt xuất huyết,hạch bạch huyết sưng,nôn,sốt,đau cơ,đau đầu dữ dội,đau khớp,,,,
Hen suyễn,dịch nhầy quá nhiều,ho,khó thở,đau ngực,khó thở,mệt mỏi,,,,
Xơ vữa động mạch,tê,khó đi lại,cảm giác ngứa,yếu cơ,chuột rút cơ,vấn đề về thị lực,,,,
HIV,đau họng,khó thở,chán ăn,mệt mỏi,đau cơ,viêm hạch bạch huyết,sốt,phát ban,sút cân,
Sa sút trí tuệ,trầm cảm,khó nhớ tên,lúng túng trong giao tiếp,khó nhận diện người thân,mất khả năng hoàn thành công việc đơn giản,cảm giác bị mất kiểm soát,khó khăn trong việc ra quyết định,thay đổi tính cách,cảm giác lạc lõng,
Bệnh Huntington,mất thăng bằng,yếu cơ,khó nói,chóng mặt,giảm cân,,,,,
Gonorrhea,sốt,chảy mủ từ dương vật,mệt mỏi,đau khi quan hệ,sưng vùng kín,đau khi đi tiểu,,,,
HIV,sút cân,mệt mỏi,chán ăn,đau cơ,phát ban,khó thở,sốt,đau họng,viêm hạch bạch huyết,đổ mồ hôi ban đêm
Ung thư đại trực tràng,sút cân không rõ lý do,khó tiêu,thay đổi thói quen đi tiêu,tiêu chảy hoặc táo bón,đau bụng,đau khi đi tiêu,mệt mỏi,nôn mửa,màu phân thay đổi,
Nấm da,mẩn đỏ,lở loét,lột da,ngứa da,tạo vết nứt,,,,,
Viêm màng não,mệt mỏi,sợ ánh sáng,buồn nôn,hôn mê,sốt cao,lú lẫn,co giật,cứng cổ,đau cơ,
Ung thư tụy,mất cảm giác thèm ăn,đau lưng,buồn nôn,khó thở,tiêu chảy,đau bụng,,,,
Sốt xuất huyết,đau sau mắt,đau đầu dữ dội,mệt mỏi,phát ban,hạch bạch huyết sưng,buồn nôn,nôn,đau khớp,sốt,
Bệnh bạch cầu,nhiễm trùng thường xuyên,đau bụng,hạch bạch huyết sưng,giảm cân không rõ lý do,dễ bầm tím,mệt mỏi,ra mồ hôi đêm,,,
Sỏi mật,mệt mỏi,sút cân,đau lưng,chán ăn,vàng da,đau bụng trên,nôn mửa,,,
Tiểu đường thai kỳ,nhìn mờ,khát nước nhiều,sút cân,cảm giác tê ở tay chân,mệt mỏi,tiểu nhiều,,,,
Syphilis,vết loét không đau,đau đầu,sốt,đau cơ,đau họng,rối loạn tiêu hóa,phát ban da,khó nuốt,mệt mỏi,
Lo âu,cảm giác bất an,run rẩy,khó thở,đau đầu,đau ngực,khó ngủ,hồi hộp,lo lắng thái quá,rối loạn tiêu hóa,mệt mỏi
Psoriasis,ngứa,mẩn đỏ,da khô,đau khớp,nứt nẻ da,mệt mỏi,da đỏ,,,
Suy giáp,kinh nguyệt không đều,giọng khàn,phù mặt,chậm nhịp tim,trầm cảm,tăng cân,rụng tóc,khó chịu với lạnh,mệt mỏi,da khô
Herpes,vết loét trên cơ thể,đau khi tiểu,mệt mỏi,đau đầu,sốt,buồn nôn,vùng da đau nhức,phát ban,,
Thoái hóa khớp,mệt mỏi,lạo xạo trong khớp,đau buổi sáng,cứng khớp,đau khớp,đau dai dẳng,yếu cơ,sưng tấy,giảm khả năng vận động,đỏ xung quanh khớp
Bệnh phong,tắc nghẽn mũi,sưng,da đổi màu,vấn đề về mắt,yếu cơ,sẹo,tổn thương da,mất cảm giác,tê,
Suy tim,tiểu thường xuyên,khó tập thể dục,tăng cân,chán ăn,mệt mỏi,,,,,
Loét dạ dày tá tràng,cảm giác nóng rát,nôn mửa,chán ăn,chảy máu dạ dày,sút cân,,,,,
Bệnh Myasthenia,đầy bụng,yếu khi mệt mỏi,khó thở,khó thở khi ngủ,mệt mỏi,khó ngủ,khó nuốt,yếu cơ,đau cơ,yếu cơ mặt
Viêm não,đau đầu,cứng cổ,sốt cao,nôn mửa,mệt mỏi,buồn nôn,suy giảm nhận thức,,,
Sởi,phát ban,đau họng,đốm trắng trong miệng,sổ mũi,sốt,đau cơ,chán ăn,,,
COVID-19,khó thở,nghẹt mũi,mệt mỏi,mất vị giác hoặc khứu giác,đau cơ,,,,,
Bệnh lao,hạch bạch huyết sưng,ho ra máu,chán ăn,ra mồ hôi ban đêm,sốt,,,,,
Herpes,đau khi tiểu,đau đầu,phát ban,sốt,ngứa,đau cơ,mệt mỏi,vùng da đau nhức,,
Xơ nang,khó thở,móng tay hoặc móng chân sưng,khó tăng cân,nhiễm trùng phổi thường xuyên,nhiễm trùng xoang thường xuyên,ho mãn tính,ho ra đờm đặc,da có vị mặn,,
Gonorrhea,buồn nôn,đau khi quan hệ,chảy mủ từ dương vật,đau bụng dưới,mệt mỏi,ngứa,đau khi đi tiểu,sưng vùng kín,ra dịch âm đạo,sốt
Ung thư đại trực tràng,sút cân không rõ lý do,tiêu chảy hoặc táo bón,nôn mửa,màu phân thay đổi,máu trong phân,mệt mỏi,khó tiêu,,,
Viêm ruột thừa,cảm giác no bụng,đau bụng,mệt mỏi,sốt,đau khi ho hoặc di chuyển,buồn nôn,khó tiêu,tiêu chảy hoặc táo bón,nôn mửa,đau vùng bụng dưới bên phải
Rối loạn ám ảnh cưỡng chế (OCD),khó kiểm soát cảm xúc,cảm giác cần phải làm theo một cách cụ thể,không thể ngừng suy nghĩ về một điều gì đó,lo ngại về sự không sạch sẽ,mất thời gian vào suy nghĩ tiêu cực,,,,,
Ung thư vú,sụt cân không rõ lý do,chảy dịch từ vú,khối u trong vú,đau khi chạm vào vú,mệt mỏi,sưng hạch bạch huyết ở nách,đau vú,thay đổi kích thước hoặc hình dạng vú,thay đổi màu sắc da quanh vú,
Zona,mệt mỏi,sốt,đau đầu,phỏng rộp,ngứa,đau nhức,cảm giác cháy,,,
Ung thư nội mạc tử cung,đau xương chậu,đau lưng,sút cân,đau bụng dưới,tiểu thường xuyên,vàng da,khó tiêu,mệt mỏi,,
Thoát vị,tăng áp lực khi đi vệ sinh,đau xương chậu,tăng áp lực bụng,sưng vùng bụng,đau khi di chuyển,,,,,
Thoát vị,đau vùng bụng,sưng vùng bụng,khó thở,đau khi di chuyển,cảm giác nặng nề,cảm giác căng tức,tăng áp lực khi đi vệ sinh,đau khi ho hoặc căng thẳng,đau xương chậu,tăng áp lực bụng
Tả,miệng khô,tiêu chảy có nước,mắt trũng,chuột rút cơ,mất nước,nôn,mệt mỏi,nhịp tim nhanh,huyết áp thấp,
Rối loạn lưỡng cực,dễ nổi giận,thay đổi đột ngột tâm trạng,vấn đề với hành vi,khó khăn trong kiểm soát cảm xúc,cảm giác bồn chồn,cảm giác cực kỳ vui vẻ,,,,
Rối loạn ám ảnh cưỡng chế (OCD),sợ hãi không kiểm soát được,mất thời gian vào suy nghĩ tiêu cực,lo lắng quá mức,hoặc làm điều gì đó,lặp lại hành động hoặc suy nghĩ,cảm giác cần phải làm theo một cách cụ thể,không thể ngừng suy nghĩ về một điều gì đó,mặc cảm tội lỗi,khó kiểm soát cảm xúc,
Eczema,dễ bị kích ứng,vảy da,dễ bị viêm nhiễm,chàm,da bị nứt nẻ,đau da,ngứa da,,,
Chlamydia,đau lưng,đau bụng dưới,ngứa,mệt mỏi,đau khi quan hệ,ra dịch âm đạo bất thường,đau khi đi tiểu,tiểu buốt,,
Viêm loét đại tràng,mệt mỏi,tiêu chảy có máu,buồn nôn,thiếu máu,sốt,,,,,
Tiểu đường,khát nước,lành vết thương chậm,da khô,giảm cân không rõ lý do,thèm ăn cực độ,mệt mỏi,nhiễm trùng thường xuyên,mờ mắt,tiểu nhiều lần,
Đột quỵ,mơ hồ,tê bì đột ngột,khó đi lại,đau đầu dữ dội,nói ngọng,chóng mặt,yếu một bên cơ thể,mất phối hợp,khó nhìn,
Bệnh Myasthenia,mệt mỏi,đau cơ,khó nuốt,yếu khi mệt mỏi,khó thở khi ngủ,khó thở,khó ngủ,yếu cơ,,
Bệnh thận mãn tính,chán ăn,khó thở,da khô hoặc ngứa,chuột rút cơ,nôn,mệt mỏi,huyết áp cao,sưng chân,,
Sốt rét,buồn nôn,rùng mình,thiếu máu,mồ hôi,thở nhanh,mệt mỏi,đau đầu,nôn,sốt,
Rối loạn căng thẳng sau chấn thương (PTSD),cảm giác căng thẳng,trầm cảm,đặc biệt dễ giật mình,thay đổi cảm xúc,đau đầu,mất ngủ,,,,
Xơ cứng bì,suy thận,đau khớp,vết thương chậm lành,suy giảm khả năng di chuyển,mệt mỏi,da căng và dày,,,,
Sốt thấp khớp,sốt,viêm họng,mệt mỏi,đau cơ,viêm tim,đau khớp,khó thở,chóng mặt,,
Lupus ban đỏ hệ thống,sốt,viêm màng phổi,mệt mỏi,chóng mặt,phát ban cánh bướm,,,,,
Ung thư bàng quang,sút cân,tiểu không hết,mệt mỏi,đau khi tiểu,đau xương chậu,buồn nôn,,,,
Chlamydia,sốt,vùng kín sưng,tiểu buốt,ra dịch âm đạo bất thường,đau bụng dưới,đau khi quan hệ,đau khi đi tiểu,đau lưng,mệt mỏi,ngứa
Bệnh cơ xơ hóa,mất cân bằng điện giải,đau khớp,hạn chế tầm vận động,cứng cơ,ho khan,đau cơ,tăng huyết áp,mệt mỏi,,
Dại,ảo giác,kích động,sốt,mơ hồ,chảy nước dãi quá mức,,,,,
Rubella,ho,đau khớp,đau cơ,sốt,phát ban,chán ăn,mệt mỏi,,,
Virus papilloma người (HPV),phát ban,sưng nhẹ,sút cân,mẩn đỏ,mụn cóc sinh dục,nốt sần,đau bụng,ngứa,,
Bệnh botulism,khó thở,khó nuốt,đau cơ,mắt nhìn mờ,yếu cơ,sụp mí mắt,mệt mỏi,nôn mửa,,
Viêm khớp dạng thấp,cứng khớp buổi sáng,đau khớp,tê,khó ngủ,chán ăn,trầm cảm,sưng khớp,mệt mỏi,sốt,
Hội chứng ruột kích thích (IBS),táo bón,chán ăn,khó tiêu,sưng bụng,mệt mỏi,đầy hơi,đau khi đi tiêu,,,
Sốt xuất huyết,mệt mỏi,hạch bạch huyết sưng,buồn nôn,đau khớp,đau cơ,phát ban,đau đầu dữ dội,nôn,sốt,
Ung thư cổ tử cung,sưng chân,giảm cân,chảy máu âm đạo bất thường,tiêu chảy,đau vùng chậu,đau lưng,tiểu đau,tiết dịch âm đạo bất thường,,
Ung thư bàng quang,tiểu không hết,tiểu ra máu,khó tiểu,đi tiểu thường xuyên,đau khi tiểu,,,,,
Bệnh Lyme,tim đập nhanh,đau đầu,cứng cổ,đau cơ,mệt mỏi,sốt,đau khớp,tê tay chân,ớn lạnh,
Thiếu máu hồng cầu hình liềm,chóng mặt,mệt mỏi,đau xương khớp,đau ngực,vàng da,sút cân,khó thở,buồn nôn,,
Mụn,vết thâm sau mụn,mụn trứng cá,mụn mủ,đau khi chạm vào,mụn gây sưng đỏ,da dầu,mụn bọc,ngứa,mụn viêm,
Mumps,nuốt đau,đau cơ,sưng tuyến nước bọt,chán ăn,đau đầu,mệt mỏi,,,,
Bệnh Myasthenia,yếu khi mệt mỏi,đầy bụng,khó ngủ,khó nuốt,yếu cơ,mệt mỏi,khó thở khi ngủ,đau cơ,khó thở,yếu cơ mặt
Ung thư tinh hoàn,khối u ở tinh hoàn,thay đổi hình dáng tinh hoàn,sút cân,khó thở,đau khi quan hệ,đau bụng dưới,,,,
Bệnh Crohn,mệt mỏi,mất cảm giác ngon miệng,tiêu chảy,buồn nôn,chảy máu trực tràng,vết loét miệng,,,,
Vô sinh,cảm giác trầm cảm,vô cảm xúc,tăng cân,khó thụ thai,sút cân,rối loạn nội tiết,rối loạn kinh nguyệt,chậm kinh,,
Rối loạn căng thẳng sau chấn thương (PTSD),đau đầu,cảm giác tách biệt với mọi người,hoảng loạn,đặc biệt dễ giật mình,thay đổi cảm xúc,mơ lại giấc mơ xấu,,,,
Rối loạn ám ảnh cưỡng chế (OCD),mặc cảm tội lỗi,khó kiểm soát cảm xúc,lo ngại về sự không sạch sẽ,không thể ngừng suy nghĩ về một điều gì đó,sợ hãi không kiểm soát được,lo lắng quá mức,,,,
HIV,viêm hạch bạch huyết,sốt,đổ mồ hôi ban đêm,đau cơ,chán ăn,phát ban,sút cân,,,
Chấy,cảm giác ngứa khi chải tóc,cảm giác châm chích,sưng đỏ da đầu,gàu,tóc rụng,rối loạn tóc,viêm da đầu,sử dụng lược chấy,lây lan sang người khác,
Loãng xương,dáng cong,đau cổ,yếu cơ,mỏi cơ,gãy xương dễ dàng,,,,,
Ngưng thở khi ngủ,buồn ngủ ban ngày,mệt mỏi vào buổi sáng,tiếng thở rít khi ngủ,khô miệng khi thức dậy,tỉnh giấc đột ngột,,,,,
Sốt thấp khớp,mệt mỏi,viêm họng,sốt,khó thở,viêm tim,buồn nôn,đau cơ,,,
Rối loạn hình thể cơ thể,trầm cảm,cảm giác căng thẳng,thường xuyên so sánh bản thân với người khác,vấn đề với tự nhận thức cơ thể,rối loạn ăn uống,lo âu,khó kết nối xã hội,lo âu về cân nặng,cảm giác không hài lòng với hình dáng cơ thể,
Thiếu sắt,rụng tóc,da nhợt nhạt,tim đập nhanh,đau đầu,khó thở,chóng mặt,khó tập trung,mệt mỏi,,
Lo âu,lo lắng thái quá,cảm giác bất an,run rẩy,hồi hộp,khó ngủ,đau ngực,khó thở,,,
Hội chứng mệt mỏi mãn tính,trí nhớ kém,cảm giác không phục hồi sau giấc ngủ,đau cơ,đau đầu,lo âu,đau khớp,mệt mỏi không rõ nguyên nhân,,,
Syphilis,đau cơ,rối loạn tiêu hóa,sốt,viêm hạch,khó nuốt,,,,,
Viêm tụy mạn tính,đau lưng,đầy hơi,nôn,chán ăn,suy dinh dưỡng,,,,,
Đột quỵ,mất phối hợp,chóng mặt,khó đi lại,tê bì đột ngột,nói ngọng,đau đầu dữ dội,khó nuốt,yếu một bên cơ thể,,
Sẩy thai,khó thở,buồn nôn,rối loạn nội tiết,đau khi quan hệ,đau bụng,đau lưng,ra máu âm đạo,mệt mỏi,khó tiêu,
Tăng huyết áp,mơ hồ,mệt mỏi,vấn đề về thị lực,khó thở,đau ngực,đau đầu,nhịp tim không đều,,,
Ung thư,thay đổi da,thay đổi thói quen đại tiện hoặc tiểu tiện,ho kéo dài,cục u,máu trong phân,,,,,
Sốt thấp khớp,viêm tim,buồn nôn,khó thở,viêm họng,đau cơ,sốt,chóng mặt,mệt mỏi,,
Rối loạn hình thể cơ thể,thường xuyên so sánh bản thân với người khác,lo âu,trầm cảm,cảm giác căng thẳng,rối loạn ăn uống,lo âu về cân nặng,,,,
Lupus,sút cân,cảm giác lạnh,sốt,mất tóc,mệt mỏi,chán ăn,viêm phổi,phát ban mặt,đau ngực,
Bệnh máu khó đông,chảy máu mũi,đau bụng,mệt mỏi,cảm giác nặng nề ở tay chân,đau khớp,,,,,
Chlamydia,đau khi quan hệ,ra dịch âm đạo bất thường,đau khi đi tiểu,đau lưng,tiểu buốt,sốt,ngứa,,,
Ung thư tụy,sốt,khó thở,đau bụng,mất cảm giác thèm ăn,mệt mỏi,giảm cân không rõ lý do,vàng da,,,
Mumps,sốt,chán ăn,đau đầu,nuốt đau,đau nhức,sưng tuyến nước bọt,đau cơ,,,
Ngộ độc thực phẩm,nôn mửa,mệt mỏi,đau bụng,buồn nôn,đau đầu,sút cân,tiêu chảy,khó tiêu,đầy hơi,
Thiếu sắt,rụng tóc,chân tay lạnh,chóng mặt,móng tay dễ gãy,tim đập nhanh,mệt mỏi,đau đầu,da nhợt nhạt,khó thở,khó tập trung
Hội chứng mệt mỏi mãn tính,đau khớp,lo âu,suy giảm trí nhớ,trí nhớ kém,đau đầu,đau cơ,,,,
Xơ vữa động mạch,rối loạn trí nhớ,mệt mỏi,yếu cơ,chuột rút cơ,khó đi lại,,,,,
Rối loạn lưỡng cực,thay đổi đột ngột tâm trạng,vấn đề với hành vi,mất ngủ,nói nhiều,dễ nổi giận,,,,,
Ngộ độc thực phẩm,sốt,sút cân,đầy hơi,buồn nôn,tiêu chảy,,,,,
Viêm khớp,giảm phạm vi vận động,biến dạng khớp,đỏ xung quanh khớp,đau nhức,đau khớp,yếu,nhiệt độ khớp,,,
Lo âu,rối loạn tiêu hóa,đau đầu,hồi hộp,lo lắng thái quá,run rẩy,khó ngủ,,,,
Bệnh máu khó đông,chảy máu răng,chảy máu bất thường,mệt mỏi,chảy máu mũi,đau khớp,cảm giác nặng nề ở tay chân,dễ bầm tím,,,
Bệnh botulism,khó nuốt,yếu cơ,buồn nôn,mệt mỏi,nôn mửa,khô miệng,sụp mí mắt,khó thở,,
